"No.","Time","Source","Destination","Protocol","Length","Info"
"299","2.487318","172.19.57.83","202.203.85.88","DNS","75","Standard query 0x5a3d A www.yxnu.edu.cn"
"450","2.534762","202.203.85.88","172.19.57.83","DNS","91","Standard query response 0x5a3d A www.yxnu.edu.cn A 202.203.86.93"
